2018-10-18 14:24:29,198: 'a'
2018-10-18 14:24:29,405: 'r'
2018-10-18 14:24:29,468: 'e'
2018-10-18 14:24:29,586: Key.space
2018-10-18 14:24:30,202: 'w'
2018-10-18 14:24:30,281: 'i'
2018-10-18 14:24:30,388: 't'
2018-10-18 14:24:30,494: 'h'
2018-10-18 14:24:30,734: Key.space
2018-10-18 14:24:31,045: 's'
2018-10-18 14:24:31,065: 'a'
2018-10-18 14:24:31,313: Key.space
2018-10-18 14:24:32,700: 'a'
2018-10-18 14:24:32,822: 's'
2018-10-18 14:24:33,382: Key.space
2018-10-18 14:24:33,860: 'i'
2018-10-18 14:24:34,139: Key.space
2018-10-18 14:24:34,777: 'h'
2018-10-18 14:24:34,851: 'i'
2018-10-18 14:24:35,103: 's'
2018-10-18 14:24:35,391: Key.space
2018-10-18 14:24:35,814: 't'
2018-10-18 14:24:35,935: 'h'
2018-10-18 14:24:36,079: 'e'
2018-10-18 14:24:36,293: 'y'
2018-10-18 14:24:36,517: Key.space
2018-10-18 14:24:36,853: 'b'
2018-10-18 14:24:36,943: 'e'
2018-10-18 14:24:37,135: Key.space
2018-10-18 14:24:37,276: 'a'
2018-10-18 14:24:37,393: 't'
2018-10-18 14:24:37,543: Key.space
2018-10-18 14:24:37,885: 'o'
2018-10-18 14:24:37,953: 'n'
2018-10-18 14:24:38,049: 'e'
2018-10-18 14:24:38,171: Key.space
2018-10-18 14:24:38,442: 'h'
2018-10-18 14:24:38,548: 'a'
2018-10-18 14:24:38,644: 'v'
2018-10-18 14:24:38,776: 'e'
2018-10-18 14:24:38,925: Key.space
2018-10-18 14:24:39,607: 't'
2018-10-18 14:24:39,713: 'h'
2018-10-18 14:24:39,893: 'i'
2018-10-18 14:24:40,016: 's'
2018-10-18 14:24:40,243: Key.space
2018-10-18 14:24:40,906: 'f'
2018-10-18 14:24:41,213: 'r'
2018-10-18 14:24:41,865: 'o'
2018-10-18 14:24:43,213: 'm'
2018-10-18 14:24:44,829: Key.enter
2018-10-18 14:24:47,004: 'o'
2018-10-18 14:24:47,759: 'r'
2018-10-18 14:24:48,042: Key.space
2018-10-18 14:24:48,619: 'h'
